player_name,country,team,total_rounds,kd,rating,game
mezoky,Russia,Solo,324,1.07,0.99,Valorant
LowaN,Belgium,Valar Morghulis,569,0.9,0.87,Valorant
ImpactOnVoiD,CIS,Team adin,426,1.07,1.02,Valorant
aKis,United States,Muffin Lightning,4925,0.91,0.92,CSGO
SaroX,Poland,WARSHTAT_,594,0.88,0.85,Valorant
Apyr,Netherlands,Monkey Momentum,435,1.28,1.35,Valorant
PERCY,Denmark,Secret,26682,0.98,0.98,CSGO
Jiren,India,MonkeyBite Esports,582,0.87,0.89,Valorant
Heero,Canada,Mugi,527,0.97,0.99,Valorant
JACKPOT,Russia,"""Save's""",2554,0.88,0.89,CSGO
Summr,Canada,SHIKIGAMI,438,1.02,1.04,Valorant
HackeM,South Africa,Sinister5,2733,1.05,1.01,CSGO
Xeppaa,United States,Cloud9,800,1.06,1.18,Valorant
JA,Philippines,South Built Esports,1093,1.12,1.12,Valorant
Nyw,Great Britain,Gang Bros,360,1.01,1.02,Valorant
B3AUTIFUL,Sweden,Solo,573,1.02,0.99,Valorant
BEWATER,China,Invictus Gaming Academy,1293,0.86,0.84,Valorant
Rustun,United States,Oxygen Esports Academy,1697,1.01,0.92,Valorant
WazzuXL,Mexico,Penguins the night,364,0.92,0.92,Valorant
S3NSEY,Austria,Sangal,3885,1.0,0.99,CSGO
Nivera,Belgium,Heretics,5130,1.18,1.11,CSGO
HugoXD,Sweden,Singularity,7510,0.94,0.95,CSGO
Fweshest,Australia,funcrew,490,0.91,0.9,Valorant
mishu,Denmark,who cars?,844,0.91,0.96,Valorant
tor1towOw,Peru,Infinity,4111,1.11,1.09,CSGO
SnapssV,Costa Rica,Half Moon,1650,1.14,1.11,Valorant
Aery,Canada,NMG Celeste,864,0.94,1.04,Valorant
Bearz,United States,Reformed,1306,1.19,1.17,Valorant
Pain,Vietnam,Brave Wolves,1414,1.14,1.04,Valorant
Mikelelle,Finland,Monkey Momentum,435,1.05,1.05,Valorant
Smoggy,China,Team Weibo,974,1.33,1.25,Valorant
ht ,Chile,Free Agents Team,388,1.32,1.22,Valorant
SaVage,Australia,Dire Wolves,3057,1.13,1.05,CSGO
Segen,Indonesia,HIGAN,528,1.09,1.06,Valorant
Chips,World,Digital Gaming,646,0.96,1.02,Valorant
evaD,Canada,Pho Real,4652,0.87,0.92,Valorant
jonba,Spain,Solo,773,1.11,1.11,Valorant
Gucc107,United States,Akrew,1456,1.09,1.1,Valorant
Pashasahil,India,Ah yeah gaming,5105,1.02,0.95,Valorant
Ebeeee,United Arab Emirates,Flamingos,2328,1.08,1.03,Valorant
enanoks,Spain,Dragons,3039,0.9,0.92,CSGO
PKL,Brazil,paiN,24266,0.99,0.98,CSGO
theDoctorr,Malaysia,Action PH,665,0.89,0.94,Valorant
Edudz,Brazil,Baixa Renda,1124,1.2,1.2,Valorant
H4wK,Mongolia,Checkmate,3945,0.92,0.94,CSGO
frostmind,Indonesia,BOOM Esports,912,1.06,0.89,Valorant
BODA,United States,Zenigma Alpha,2480,1.09,1.04,Valorant
pr0xy,South Korea,Spear Gaming,376,1.19,1.06,Valorant
NBK-,France,Envy,52921,1.04,1.02,CSGO
Moneyt,Indonesia,Onic Esports,849,1.23,1.24,Valorant
Sate,Canada,Omni Performance SD,752,1.09,1.03,Valorant
uli,Finland,KOVA,11524,1.02,1.0,CSGO
Cantzer,Czech Republic,Enterprise Esports,749,0.99,0.97,Valorant
dip,Canada,Man I Love Fwogs,693,1.07,1.06,Valorant
ZpetZ,United States,Taipan Esports,1372,0.88,0.88,Valorant
gothchild,Pakistan,Team Arrow,307,1.02,1.06,Valorant
Despaciflette,France,Les Braqueurs,336,1.11,1.14,Valorant
GuardiaN,Slovakia,Natus Vincere,39782,1.19,1.11,CSGO
kivary,Chile,HARDESPORTS,528,1.13,1.12,Valorant
Tuna,Egypt,Anubis Gaming,2112,0.84,0.87,Valorant
Paatu,Cambodia,AG Esports,702,0.97,0.94,Valorant
MarKE,Mexico,Extra Salt,20430,1.08,1.04,CSGO
Bufon,World,Eternal Spring,1638,1.06,1.15,Valorant
bodyaN,Ukraine,"""Save's""",2701,0.97,0.96,CSGO
truo,Canada,Complexity,1985,1.14,1.03,Valorant
Impulse,Serbia,ONYX,17556,1.13,1.08,CSGO
howlsv,Great Britain,Team Bifrost,495,0.92,0.96,Valorant
Leon,Germany,CGN Esports,788,0.89,0.86,Valorant
florescent,Canada,Betrayed's Fantasy Team,1332,1.33,1.38,Valorant
Drags,Russia,HATALANTE,1008,1.29,1.14,Valorant
BaWaN,France,beGenius ESC,514,1.12,1.06,Valorant
Maniac,Switzerland,LDLC,22049,0.97,0.96,CSGO
bq,Sweden,Lilmix,9412,0.98,0.98,CSGO
KlausC,Germany,Solo,354,1.14,1.17,Valorant
keshandr,Russia,Vega Squadron,8221,0.94,0.94,CSGO
Yolo,Canada,Hugh Jass Construction,3762,0.9,0.99,Valorant
RvK,India,Enigma Gaming,1212,1.13,1.0,Valorant
Luz,Poland,PRIDE,16970,0.92,0.92,CSGO
Kay,Canada,LIGHT UP SKECHERS,1798,1.05,0.95,Valorant
fluffytittybear,Indonesia,Ethereal,686,1.14,1.11,Valorant
Babytz,Thailand,MAD Army,1294,1.33,1.21,Valorant
Rudys,Thailand,Aricat Aresta,1350,1.19,0.96,Valorant
dom,United States,Hitbox Hiros,398,0.92,0.96,Valorant
GYZER,Brazil,Black Dragons,3434,0.82,0.84,CSGO
Xhowi,Dominican Republic,Illicit,927,1.26,1.25,Valorant
Remedy,Canada,Aspire,1595,1.0,1.0,Valorant
iamtaymee,Russia,HATALANTE,640,1.18,1.03,Valorant
Attacker,China,TYLOO,30177,1.13,1.09,CSGO
popogachi,Japan,Crazy Raccoon,550,1.22,1.12,Valorant
Xecriona,Turkey,BBL Queens,523,0.96,0.95,Valorant
TMB,Denmark,MAD Lions,13694,0.99,0.98,CSGO
romi,Chile,KRÜ Fem,540,1.62,1.33,Valorant
Flarich,Latvia,HellRaisers,28161,1.1,1.05,CSGO
Rio,India,Reckoning Esports,2784,0.93,0.94,Valorant
syken,Germany,expert,10832,0.97,0.98,CSGO
JamYoung,China,ViCi,6992,1.24,1.16,CSGO
Goaster,France,Mandatory,669,1.1,1.04,Valorant
Knox,Great Britain,Noodle Arm Athletes,568,1.07,1.05,Valorant
KYLOU,Europe,Amazing,356,1.09,1.11,Valorant
HOLMES,Serbia,Squared,10541,0.97,0.97,CSGO
Zilkenberg,Mongolia,TheMongolz,8172,1.09,1.05,CSGO
adreN,United States,Liquid,18241,1.03,1.0,CSGO
DannyG,Australia,Rooster,7874,1.04,1.03,CSGO
leckr,Czech Republic,Entropiq Prague,3208,0.93,0.92,CSGO
Harry,South Korea,HolyMolly,858,1.15,0.98,Valorant
redSNK,United Kingdom,Infused,2608,0.78,0.82,CSGO
Twistzz,Canada,Liquid,32124,1.18,1.11,CSGO
moose,Canada,eUnited,19559,1.16,1.1,CSGO
dobu,Mongolia,5POWER,18826,1.05,1.04,CSGO
SENER1,Albania,BLINK,4603,0.91,0.93,CSGO
CyberFocus,Belarus,Nemiga,12779,1.04,1.02,CSGO
stavn,Denmark,Heroic,26338,1.06,1.04,CSGO
PADO,South Korea,Veronica7,323,0.91,0.91,Valorant
Reduxx,United States,BOOSTER SEAT GAMING,3446,1.29,1.22,Valorant
Zeus,Ukraine,Natus Vincere,37015,0.92,0.92,CSGO
VHL,Brazil,Baixa Renda,1124,1.06,1.03,Valorant
djaz,France,Macbernick,576,0.75,0.75,Valorant
Complex,United States,Solo,757,1.02,0.95,Valorant
dicey,United States,FaZe Clan,1014,1.41,1.21,Valorant
Tempt,Canada,Mugi,939,0.94,0.98,Valorant
dip,United States,Lenny Time,2464,0.97,0.93,Valorant
Remoy,Denmark,HEET,598,1.27,1.1,Valorant
gejmzilla,Hungary,Throw Potential,2858,0.9,0.92,CSGO
Powerzz,United States,Variance,2817,0.84,0.87,CSGO
trk,Brazil,TeamOne,18349,1.13,1.08,CSGO
nixoon,Finland,FuelCore,609,1.14,1.07,Valorant
nekky,Turkey,Tanınmayanlar,444,1.13,1.1,Valorant
qvexzzZ,Canada,Jamie fan club,1266,0.67,0.73,Valorant
Tommy,Singapore,BOOT-d[S],9900,0.95,0.96,CSGO
Hopper,Canada,afterMath Esports,520,1.06,1.0,Valorant
deoxiDE,Australia,Legacy,3439,1.19,1.12,CSGO
UdoTan,South Korea,TEAM NUTRIA,471,0.93,1.02,Valorant
MAJ3R,Turkey,dada,558,0.99,1.03,Valorant
supLex,Brazil,Sharks,3298,0.98,0.96,CSGO
Niko47A,Thailand,3XL,1878,1.03,1.1,Valorant
musashi,Germany,Rebels Gaming,817,1.08,1.12,Valorant
Waltz,United States,Solo,418,0.93,0.92,Valorant
discoveryfps,Brazil,Jisele Pincher,736,0.79,0.85,Valorant
mertz,Denmark,Team Heretics,362,0.96,0.96,Valorant
JoshRT,United States,Prospects,7432,0.85,0.88,CSGO
Hiiro,France,Amazing,356,1.06,0.95,Valorant
KAAARL,Philippines,ArkAngel,852,1.14,1.06,Valorant
jellyD,Australia,SUSUP,1332,1.09,1.04,Valorant
Kachow,Philippines,Hashira SR,1725,0.94,0.95,Valorant
christo,Argentina,Durany,3747,1.06,1.05,CSGO
deviaNt,South Africa,Goliath,3086,0.97,0.96,CSGO
Fearoth,France,Fnatic,985,1.21,1.11,Valorant
J3nsyy,Denmark,Lyngby Vikings,3434,1.0,0.97,CSGO
Redneval,Vietnam,Hold W Only,1755,1.12,1.18,Valorant
YaBoiDre,United States,Evil Geniuses,1070,1.21,1.16,Valorant
apocdud,Australia,Chiefs,15167,0.99,0.98,CSGO
smiley,Kazakhstan,100PG,8122,1.09,1.04,CSGO
sizz,Tunisia,E9 Sports,2240,1.44,1.29,Valorant
flow,United States,Yasei,960,1.09,1.07,Valorant
Swipe,France,Mantis,416,1.03,0.92,Valorant
R0b3n,Latvia,Unique,13824,1.03,1.0,CSGO
sterling,New Zealand,AVANT,18010,1.33,1.19,CSGO
ScherBi,Brazil,BearClaw Gaming,484,1.11,0.97,Valorant
Tristiieee,Canada,Team Major Academy,718,1.03,1.04,Valorant
jowzikk,Brazil,Tropa do Havoc,1228,1.09,1.16,Valorant
snarly,Canada,Qor Red,810,1.03,1.01,Valorant
QuQu,China,FIVE,2778,0.99,0.99,CSGO
Javiierh,World,Poggers LATAM,552,0.99,0.96,Valorant
Obito,China,ZHUQUE,967,0.99,1.0,Valorant
Minty,Japan,FAV Gaming,491,1.38,1.26,Valorant
ESG SweetNoni,Latin America,Eternal Spring,306,0.88,0.91,Valorant
KIPSIk,Finland,KoN Finland,2616,0.97,0.97,CSGO
Night,United States,UP NEXT,3066,0.95,0.96,Valorant
Tigene,Hungary,Gamerland Outlaws,606,0.74,0.84,Valorant
Sushi,Brazil,Pass Gaming,736,1.04,0.92,Valorant
BRNZ1K,Brazil,IDM,3339,0.92,0.93,CSGO
KSCERATO,Brazil,FURIA,20993,1.28,1.15,CSGO
Svedjehed,Sweden,Lilmix,8099,1.04,1.02,CSGO
bottle,China,Invictus,19492,1.06,1.05,CSGO
Unnsto,Argentina,eBRO GAMING,571,0.95,0.97,Valorant
spenceJ,Canada,Tone Gaming,765,1.09,1.02,Valorant
KenV,Vietnam,Fenix Gaming,354,1.04,1.04,Valorant
XANTARES,Turkey,Space Soldiers,39753,1.2,1.17,CSGO
LilHieu,Vietnam,An Phat Computer,2204,1.0,1.0,Valorant
Aero,United States,Free Fall,2811,0.85,0.78,Valorant
Salty,Germany,eXiLe FEMALE,756,1.03,1.02,Valorant
Pollo,United States,Torqued,8069,0.98,0.98,CSGO
ckay,Denmark,Ambush,2724,1.01,1.01,CSGO
Princessicy,Canada,Addice,396,0.9,0.86,Valorant
XpG,France,TheDice,5915,0.89,0.91,CSGO
streets,Canada,mozzymembas,462,1.04,0.96,Valorant
Meddo,Sweden,G2 Esports,2070,1.15,0.94,Valorant
Lou,United States,Betrayed's Fantasy Team,882,0.96,0.99,Valorant
PanzeR,India,Dank 5,873,1.13,1.17,Valorant
azd,Europe,Beykent E-Sports,627,1.05,1.08,Valorant
Evade,Canada,Omni Performance SD,732,0.82,0.88,Valorant
opportunity,United States,Fam143,3464,1.05,1.06,CSGO
voidex,Russia,5balls,2701,0.94,0.97,CSGO
Synergy,Canada,ValorsGG,712,0.81,0.85,Valorant
Lamplight,China,MAX,3424,0.93,0.93,CSGO
aika,Canada,Ranked Players,668,0.98,1.08,Valorant
Notta1337,Canada,Avora,688,1.03,1.09,Valorant
HS,Estonia,Nordavind,27632,1.02,1.02,CSGO
Di Wade,Brazil,Inter de Limão,1326,0.93,0.91,Valorant
jet-,United States,Recon 5,4472,0.98,0.97,CSGO
Joojina,Brazil,Gamelanders Purple,634,1.03,0.99,Valorant
emberval,India,Vibhor Fan Club,2950,1.04,1.02,Valorant
dathuaaN,Belgium,House of Batiatus,404,1.0,0.91,Valorant
kostaz,Poland,ELUSIVE,334,1.02,1.07,Valorant
Monster,China,CyberZen,5329,1.04,1.02,CSGO
Kay,Vietnam,Brimstone Gaming,330,1.19,1.22,Valorant
trent,United States,The Guard,1332,1.34,1.19,Valorant
